Players;Values;POS;Team;ID;Num
Dusan Vlahovic;85,0;Centre-Forward;Juventus Turin;357498;7
Lautaro Martinez;75,0;Forward;Inter Mailand;406625;10
Rafael Leao;70,0;Left Winger;Ac Mailand;357164;17
Matthijs de Ligt;70,0;Centre-Back;Juventus Turin;326031;4
Nicolo Barella;70,0;Central Midfield;Inter Mailand;255942;23
Sergej Milinkovic-Savic;70,0;Midfield;Lazio Rom;266302;21
Victor Osimhen;65,0;Centre-Forward;Ssc Neapel;401923;9
Federico Chiesa;65,0;Left Winger;Juventus Turin;341092;22
Milan Skriniar;65,0;Centre-Back;Inter Mailand;204069;37
Alessandro Bastoni;60,0;Centre-Back;Inter Mailand;315853;95
Fabian Ruiz;55,0;Midfield;Ssc Neapel;350219;8
Theo Hernandez;55,0;Left-Back;Ac Mailand;339808;19
Fikayo Tomori;50,0;Centre-Back;Ac Mailand;303254;23
Sandro Tonali;50,0;Defensive Midfield;Ac Mailand;397033;8
Tammy Abraham;50,0;Centre-Forward;As Rom;331726;9
Lorenzo Pellegrini;45,0;Midfield;As Rom;286297;7
Franck Kessie;45,0;Midfield;Ac Mailand;294808;79
Marcelo Brozovic;40,0;Defensive Midfield;Inter Mailand;156617;77
Piotr Zielinski;40,0;Central Midfield;Ssc Neapel;181136;20
Dejan Kulusevski;40,0;Right Winger;Juventus Turin;431755;-
Manuel Locatelli;35,0;Defensive Midfield;Juventus Turin;265088;27
Domenico Berardi;35,0;Right Winger;Us Sassuolo;177843;25
Mike Maignan;35,0;Goalkeeper;Ac Mailand;182906;16
Bremer;35,0;Centre-Back;Fc Turin;516716;3
Paulo Dybala;35,0;Striker;Juventus Turin;206050;10
Kalidou Koulibaly;35,0;Centre-Back;Ssc Neapel;93128;26
Hakan Calhanoglu;35,0;Central Midfield;Inter Mailand;126414;20
Nicolo Zaniolo;33,0;Midfield;As Rom;392085;22
Ismael Bennacer;33,0;Defensive Midfield;Ac Mailand;351816;4
Hirving Lozano;30,0;Right Winger;Ssc Neapel;316889;11
Frank Anguissa;30,0;Central Midfield;Ssc Neapel;354361;99
Gianluca Scamacca;30,0;Centre-Forward;Us Sassuolo;315867;91
Cristiano Ronaldo;30,0;Centre-Forward;Juventus Turin;8198;-
Duvan Zapata;28,0;Centre-Forward;Atalanta Bergamo;73794;91
Luis Alberto;28,0;Central Midfield;Lazio Rom;128220;10
Pierre Kalulu;28,0;Centre-Back;Ac Mailand;585949;20
Giacomo Raspadori;28,0;Striker;Us Sassuolo;405885;18
Stefan de Vrij;28,0;Centre-Back;Inter Mailand;111196;6
Rodrigo Bentancur;28,0;Central Midfield;Juventus Turin;354362;-
Mario Pasalic;28,0;Midfield;Atalanta Bergamo;205938;88
Robin Gosens;28,0;Midfield;Inter Mailand;273132;18
Ruslan Malinovskyi;28,0;Midfield;Atalanta Bergamo;207877;18
Ciro Immobile;27,0;Centre-Forward;Lazio Rom;105521;17
Denis Zakaria;27,0;Defensive Midfield;Juventus Turin;334526;28
Alvaro Morata;25,0;Centre-Forward;Juventus Turin;128223;9
Amir Rrahmani;25,0;Centre-Back;Ssc Neapel;257732;13
Nicolas Gonzalez;25,0;Left Winger;Ac Florenz;486031;22
Weston McKennie;25,0;Central Midfield;Juventus Turin;332697;14
Teun Koopmeiners;25,0;Defensive Midfield;Atalanta Bergamo;360518;7
Takehiro Tomiyasu;25,0;Right-Back;Fc Bologna;331560;14
Merih Demiral;25,0;Centre-Back;Atalanta Bergamo;340879;28
Lorenzo Insigne;25,0;Left Winger;Ssc Neapel;133964;24
Denzel Dumfries;25,0;Midfield;Inter Mailand;321528;2
Davide Calabria;25,0;Right-Back;Ac Mailand;262523;2
Giovanni Di Lorenzo;25,0;Right-Back;Ssc Neapel;169880;22
Eljif Elmas;24,0;Central Midfield;Ssc Neapel;400489;7
Moise Kean;24,0;Centre-Forward;Juventus Turin;364135;18
Roger Ibanez;23,0;Centre-Back;As Rom;524481;3
Joaquin Correa;23,0;Striker;Inter Mailand;227081;19
Hamed Junior Traore;22,0;Midfield;Us Sassuolo;391065;23
Gianluca Mancini;21,0;Centre-Back;As Rom;256448;23
Nahuel Molina;20,0;Right-Back;Udinese Calcio;424042;16
Andrea Belotti;20,0;Centre-Forward;Fc Turin;167727;9
Bryan Cristante;20,0;Defensive Midfield;As Rom;199248;4
Nikola Milenkovic;20,0;Centre-Back;Ac Florenz;413507;4
Luis Muriel;20,0;Centre-Forward;Atalanta Bergamo;119228;9
Leonardo Spinazzola;20,0;Left-Back;As Rom;118689;37
Lucas Torreira;20,0;Defensive Midfield;Ac Florenz;318077;18
Andrea Pinamonti;20,0;Centre-Forward;Fc Empoli;315865;99
Davide Frattesi;20,0;Central Midfield;Us Sassuolo;394300;16
